name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
RggRt45#4697369,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
JohniceRex#9176033,0,0,0.0,0,1,0,110,0,7,0,7.0,0,0,0,700,0.0,0,16
bootybootykill#1892064,0,66,1.03125,0,9,0,110,0,32,16,32.0,0,1,0,48300,0.0,0,64
JNaCo#5244172,3,2,0.4,0,1,0,0,0,3,0,3.0,0,0,0,1150,0.0,0,5
gomezyayo_007#6596687,0,2,0.2,0,1,0,110,0,5,1,5.0,0,0,0,1000,0.0,0,10
Brxndoon7-LK#4002715,684,27011,1.0667430196279768,18,177,10,110,98332,1366,5113,2.32312925170068,588,6063,305319,3932335,255.67203513909226,403651,25321
bdooory_ab#7095171,4,162,0.6328125,4,6,2,0,568,8,35,2.0,4,68,4836,24485,265.5,5404,256
ahevepluto#3505304,186,1898,0.5696278511404562,13,37,7,2,5111,550,485,3.6666666666666665,150,488,39978,458269,180.3796363636364,45089,3332
MilkyLemonz-_-#5981249,741,21803,1.0366584252567517,26,185,29,111,81361,2442,3894,2.826388888888889,864,4029,327230,4269370,198.84422604422605,408591,21032
RPDUNKduo#8122914,26,349,0.4440203562340967,7,12,4,0,996,44,40,2.933333333333333,15,138,4844,72765,253.67727272727268,5840,786
BOBOQQ3#7928912,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Rachetevolution,0,26,0.3376623376623377,0,6,0,110,0,37,3,37.0,0,4,0,25108,0.0,0,77
CzarnyDelfinek#9059572,188,1949,1.4957789716039909,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.63031784841076,13844,1303
Damian291207#7986887,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,1
SanDrasoSa,15,132,0.631578947368421,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.74285714285716,3702,209
DrunkUnc92#7705654,207,3452,0.6977966444309682,10,40,9,110,16134,378,535,2.9302325581395348,129,811,104881,530615,266.01428571428573,121015,4947
whoshotghost#1916366,106,3284,0.9461250360126764,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447058823529,61487,3471
Nsory_1#5583298,1592,15033,0.7803270179081235,17,156,13,111,49680,3247,2367,3.054562558795862,1063,2099,247686,3018769,230.43030489682786,297366,19265
LimpThaDon,190,3033,1.0099900099900099,13,37,8,110,9846,421,489,2.520958083832336,167,583,42460,458078,152.73064133016624,52306,3003
DeGiove#5248918,605,7764,0.8532805802835477,14,63,8,111,32602,1153,1549,2.638443935926773,437,1106,125227,1050069,281.43590633130964,157829,9099
TawheedAhmed42,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
teruteru_yt_#6461227,35,900,0.9394572025052192,12,19,5,6,3078,71,197,2.290322580645161,31,149,10257,149095,300.01690140845074,13335,958
edgexgaming8901#9276950,51,603,0.6947004608294931,11,12,5,0,2483,92,102,2.628571428571429,35,94,9874,66675,197.3217391304348,12357,868
BrunoMarchione,0,49,0.5104166666666666,0,8,0,110,0,31,7,31.0,0,38,0,38501,0.0,0,96
SlaPzz#6879518,42,1233,0.9397865853658536,9,24,7,39,2711,78,296,2.4375,32,197,7274,211625,306.67692307692306,9985,1312
ferni775#9063204,0,1,0.3333333333333333,0,2,0,0,0,2,0,2.0,0,0,0,3975,0.0,0,3
HORUS REED#8123889,349,9899,1.399943430915005,13,238,10,112,14482,1621,2062,9.648809523809524,168,1016,62300,6541499,51.62739049969154,76782,7071
CohesiveMango93#8505922,59,1041,0.7149725274725275,8,20,5,0,4335,99,169,2.9117647058823533,34,281,18216,158915,250.29090909090908,22551,1456
Bobdustt#2422031,81,2041,1.1459854014598538,14,29,9,21,7265,169,324,2.0119047619047623,84,481,28320,301903,266.3857988165681,35585,1781
caliopez99#8569536,0,4,0.21052631578947367,0,1,0,0,0,8,0,8.0,0,0,0,2575,0.0,0,19
EH4B_367#1401846,7,118,0.9833333333333332,6,4,6,0,314,21,19,1.5,14,9,1311,13255,237.11428571428573,1625,120
sammy7227#7543148,7,16,0.64,4,3,0,0,17,10,3,10.0,0,1,120,9425,23.34,137,25
WilcyWilson#2599001,0,0,0.0,0,1,0,31,0,0,0,0.0,0,0,0,0,0.0,0,0
URjustBADXD#7190593,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,100,0.0,0,3
DaydayLadd96#1594916,21,363,0.7303822937625755,9,11,4,5,767,33,65,3.6666666666666665,9,49,6360,58550,327.9090909090909,7127,497
S3ND3RBUB12#9216137,80,1213,0.6472785485592316,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.66341463414642,27138,1874
Die#1566463,152,4753,1.0245742616943307,11,44,6,7,21934,320,661,2.302158273381295,139,948,95160,632675,330.991875,117094,4639
Jay-WKT#9248671,20,1848,0.7091327705295472,8,74,3,110,1126,840,247,49.411764705882355,17,255,4332,1166785,11.536428571428573,5458,2606
McWiggins14#5533106,1,6,0.42857142857142855,1,1,0,0,29,1,1,1.0,0,1,96,625,226.2,125,14
