case,location,date,summary,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
Nashville religious school shooting,"Nashville, TN",3-27-23,"Audrey Hale, 28, who was a former student at the private Covenant School, killed three adults and three 9-year-old children, before dying in a shootout with police.",6,1,6,School,28,-,-,-,-,"semiautomatic rifle, semiautomatic handgun",-,-,"F (identified as transgender, per police)",-,-,Mass,2023
Michigan State University shooting,"East Lansing, Michigan",2-13-23,"Anthony D. McRae, 43, opened fire at Berkey Hall and the MSU union, according to local police. Following an intense manhunt in the area, he was found dead from a self-inflicted gunshot wound, police said.",3,5,8,School,43,-,-,yes,-,semiautomatic handguns,-,Black,M,-,-,Mass,2023
Half Moon Bay spree shooting,"Half Moon Bay, California",1-23-23,"Chunli Zhao, 67, suspected of carrying out the attacks at a mushroom farm and near a trucking facility, was apprehended by police. Zhao reportedly worked at the mushroom farm.",7,1,8,workplace,67,-,-,-,-,semiautomatic handgun,-,Asian,M,-,-,Spree,2023
LA dance studio mass shooting,"Monterey Park, California",1-21-23,"Huu Can Tran, 72, fled the scene in a white van and later shot himself to death as police closed in.",11,10,21,Other,72,yes,"According to the LA Times, ""Two law enforcement sources said the suspect recently showed up to the Hemet police station saying his family was trying to poison him.""",-,-,semiautomatic assault weapon (Details pending),-,Asian,M,-,-,Mass,2023
Virginia Walmart shooting,"Chesapeake, Virginia",11-22-22,"Andre Bing, 31, who worked as a supervisor at the store, opened fire on co-workers and then fatally shot himself, according to local authorities.",6,6,12,Workplace,31,-,-,-,-,semiautomatic handgun,-,Black,M,-,-,Mass,2022
LGBTQ club shooting,"Colorado Springs, Colorado",11-19-22,"Anderson L. Aldrich, 22, wore body armor and opened fire upon entering the club as a dance party was underway; he was subdued by unarmed patrons who tackled him amid the carnage and held him down until police arrived.",5,25,30,Other,22,yes,Aldrich reportedly had a history of menacing behavior and violent threats.,-,-,semiautomatic rifle; semiautomatic handgun,-,White,M,-,-,Mass,2022
University of Virginia shooting,"Charlottesville, Virginia",11-13-22,"Christopher Darnell Jones Jr., 22, allegedly opened fire after a charter bus returned to campus from a university field trip, killing three members of the UVA football team and injuring two other people. Jones Jr. reportedly was on the radar of the university's threat assessment team regarding talk of owning a gun and a prior 2021 incident involving a concealed weapon.",3,2,5,School,22,-,-,yes,"Dance's Sporting Goods; Colonial Heights, VA",semiautomatic pistol,"Glock 45 9mm; Ruger AR-556 rifle (in his dorm room, with other weapons, gear, and ammo)",Black,M,-,-,Mass,2022
Raleigh spree shooting,"Hedingham, North Carolina",10-13-22,"Austin Thompson, 15, went on a rampage in the Hedingham neighborhood, where he lived; one of the fatalities included his 16-year-old brother, James. Thompson was critically wounded and apprehended by police after a long standoff, and was admitted to an area hospital in critical condition.",5,2,7,Other,15,-,-,-,-,"shotgun, semiautomatic handgun",,White,M,-,-,Spree,2022
Greenwood Park Mall shooting,"Greenwood, Indiana",7-17-22,"Jonathan Sapirman, 20, opened fire in a mall food court and was soon shot dead by a 22-year-old armed civilian, whose response local authorities called ""nothing short of heroic.""",3,2,5,workplace,20,-,-,yes,in Greenwood,semiautomatic rifles; semiautomatic handgun,Sig Sauer M400 rifle,White,M,-,-,Mass,2022
Highland Park July 4 parade shooting,"Highland Park, Illinois",7-4-22,"Suspected gunman Robert ""Bobby"" Crimo, 21, allegedly opened fire with a rifle from a rooftop during an Independence Day parade, unleashing several bursts of rapid fire, and then escaped from the scene as police responded. He was taken into custody about eight hours later, a few miles from the scene of the attack, following a large-scale manhunt by law enforcement. (*Further details pending.)",7,46,53,Other,21,-,-,yes,"legally purchased by the shooter in the ""greater Chicago area"" per authorities",semiautomatic rifle,"AR-15 style rifle, possibly modified for rapid fire",White,M,-,-,Mass,2022
